"year","pop_mean","CI_low","CI_high"
1992,1013.45918939651,820.549091337525,1359.67644873092
1993,960.168629848746,314.833451386057,1370.17071946632
1994,907.453678590569,629.813530272361,1616.92856770249
1995,413.705554684798,269.589856955949,681.121666165595
1996,292.822959430333,196.088623392331,462.580994771384
1997,199.806025340051,134.699426890609,294.048126386007
1998,183.778785565732,121.155124297533,271.930845022533
1999,167.746434585382,110.606427548049,247.476756016565
2000,168.082943617702,110.151781103319,252.040905322132
2001,202.959513240299,136.923893836155,292.729389894175
2002,217.717679206146,148.556650338912,306.952212829095
2003,184.995039835233,124.623859701002,263.620990473435
2004,195.986141579159,131.280346602118,277.283226996645
2005,168.220808715807,112.341346495069,241.05919844654
2006,133.424170984061,88.6126909805022,191.900584338694
2007,108.966795301581,73.3982794443879,157.56421635867
2008,70.2854562242681,48.2892689531596,103.04397854096
